,[Vertices]
0,Abbesses
1,AlexandreDumas
2,AlmaMarceau
3,Alesia
5,Anvers
6,Argentine
7,ArtsetMetiers
8,ArtsetMetiers
9,AssembleeNationale
11,AvenueemileZola
12,Avron
13,BarbesRochechouart
14,BarbesRochechouart
16,Bastille
17,Bastille
18,Bastille
19,BelAir
20,Belleville
21,Belleville
22,Bercy
23,Bercy
24,BibliothequeFrançoisMitterand
26,BirHakeim
27,Blanche
30,Boissiere
31,Bolivar
32,BonneNouvelle
33,BonneNouvelle
34,Botzaris
35,Boucicaut
38,Bourse
39,Brochant
40,BreguetSabin
41,ButtesChaumont
42,Buzenval
44,Cadet
45,Cambronne
46,CampoFormio
47,CardinalLemoine
49,CensierDaubenton
50,ChampselyseesClemenceau
51,ChampselyseesClemenceau
52,ChardonLagache
54,CharlesMichels
55,CharlesdeGaulleEtoile
56,CharlesdeGaulleEtoile
57,CharlesdeGaulleEtoile
58,Charonne
59,ChausseedAntinLaFayette
60,ChausseedAntinLaFayette
61,CheminVert
62,Chevaleret
63,ChateauLandon
64,ChateauRouge
66,ChateaudeVincennes
67,Chatelet
68,Chatelet
69,Chatelet
70,Chatelet
71,Chatelet
73,Cite
74,ClunyLaSorbonne
75,ColonelFabien
76,Commerce
77,Concorde
78,Concorde
79,Concorde
80,Convention
82,CorentinCariou
83,Corvisart
84,CourSaintemilion
85,Courcelles
86,Couronnes
87,Crimee
92,Danube
93,Daumesnil
94,Daumesnil
95,DenfertRochereau
96,DenfertRochereau
97,Dugommier
98,Dupleix
99,Duroc
100,Duroc
101,EdgarQuinet
103,Europe
104,Exelmans
105,FaidherbeChaligny
106,Falguiere
107,FillesduCalvaire
109,FranklinD.Roosevelt
110,FranklinD.Roosevelt
111,FelixFaure
113,Gaite
115,Gambetta
116,Gambetta
117,GaredAusterlitz
118,GaredAusterlitz
119,GaredeLyon
120,GaredeLyon
121,GaredelEst
122,GaredelEst
123,GaredelEst
124,GareduNord
125,GareduNord
127,GeorgeV
128,Glaciere
129,Goncourt
131,GuyMoquet
132,HavreCaumartin
133,HavreCaumartin
135,HoteldeVille
136,HoteldeVille
137,Invalides
138,Invalides
139,Iena
140,JacquesBonsergent
141,Jasmin
142,Jaures
143,Jaures
144,Jaures
145,Javel
146,Jourdain
147,JulesJoffrin
148,Jussieu
149,Jussieu
150,Kleber
151,LaChapelle
153,LaFourche
154,LaMottePicquetGrenelle
155,LaMottePicquetGrenelle
156,LaMottePicquetGrenelle
157,LaMuette
158,LaTourMaubourg
159,LamarckCaulaincourt
160,Laumiere
162,LePeletier
163,LedruRollin
164,LesGobelins
165,LesHalles
168,Liege
169,LouisBlanc
170,LouisBlanc
172,Lourmel
173,LouvreRivoli
174,Mabillon
175,Madeleine
176,Madeleine
177,Madeleine
184,MaisonBlanche
189,Malesherbes
190,Maraîchers
191,MarcadetPoissonniers
192,MarcadetPoissonniers
194,MarxDormoy
195,MaubertMutualite
196,MichelAngeAuteuil
197,MichelAngeAuteuil
198,MichelAngeMolitor
199,MichelAngeMolitor
200,MichelBizot
201,Mirabeau
202,Miromesnil
203,Miromesnil
204,Monceau
205,Montgallet
206,MontparnasseBienvenue
207,MontparnasseBienvenue
208,MontparnasseBienvenue
209,MontparnasseBienvenue
210,MoutonDuvernet
211,Menilmontant
212,Nation
213,Nation
214,Nation
215,Nation
216,Nationale
217,NotreDamedeLorette
218,NotreDamedesChamps
219,Oberkampf
220,Oberkampf
221,Odeon
222,Odeon
223,Opera
224,Opera
225,Opera
226,Ourcq
227,PalaisRoyalMuseeduLouvre
228,PalaisRoyalMuseeduLouvre
229,Parmentier
230,Passy
231,Pasteur
232,Pasteur
233,Pelleport
234,Pernety
235,PhilippeAuguste
236,Picpus
238,Pigalle
239,Pigalle
240,PlaceBalard
241,PlaceMonge
242,PlacedItalie
243,PlacedItalie
244,PlacedItalie
245,PlacedeClichy
246,PlacedeClichy
247,PlacedesFetes
248,PlacedesFetes
249,Plaisance
250,Poissonniere
254,PontMarie
255,PontNeuf
256,PorteDauphine
257,PorteDoree
258,PorteMaillot
259,PortedAuteuil
260,PortedItalie
261,PortedIvry
262,PortedOrleans
263,PortedeBagnolet
264,PortedeChamperret
265,PortedeCharenton
266,PortedeChoisy
267,PortedeClichy
268,PortedeClignancourt
269,PortedeMontreuil
270,PortedePantin
271,PortedeSaintCloud
272,PortedeSaintOuen
273,PortedeVanves
274,PortedeVersailles
275,PortedeVincennes
276,PortedelaChapelle
277,PortedelaVillette
278,PortedesLilas
279,PortedesLilas
280,PreSaintGervais
281,Pyramides
282,Pyramides
283,Pyrenees
284,PereLachaise
285,PereLachaise
286,Pereire
287,QuaidelaGare
288,QuaidelaRapee
289,QuatreSeptembre
290,Rambuteau
291,Ranelagh
292,Raspail
293,Raspail
294,Rennes
295,ReuillyDiderot
296,ReuillyDiderot
297,RichardLenoir
298,RichelieuDrouot
299,RichelieuDrouot
300,Riquet
302,Rome
303,RueMontmartreGrandsBoulevards
304,RueMontmartreGrandsBoulevards
305,RueSaintMaur
306,RuedelaPompe
307,RuedesBoulets
308,RueduBac
309,ReaumurSebastopol
310,ReaumurSebastopol
311,Republique
312,Republique
313,Republique
314,Republique
315,Republique
316,SaintAmbroise
317,SaintAugustin
320,SaintFargeau
321,SaintFrancoisXavier
322,SaintGeorges
323,SaintGermaindesPres
324,SaintJacques
325,SaintLazare
326,SaintLazare
327,SaintLazare
329,SaintMarcel
330,SaintMichel
331,SaintPaulLeMarais
332,SaintPhilippeduRoule
333,SaintPlacide
334,SaintSulpice
335,SaintSebastienFroissart
336,Sentier
337,Simplon
338,Solferino
339,Stalingrad
340,Stalingrad
341,Stalingrad
342,StrasbourgSaintDenis
343,StrasbourgSaintDenis
344,StrasbourgSaintDenis
345,SullyMorland
346,SevresBabylone
347,SevresBabylone
348,SevresLecourbe
349,Segur
350,Temple
351,Ternes
352,Tolbiac
353,TrinitedEstiennedOrves
354,Trocadero
355,Trocadero
356,Tuileries
357,Telegraphe
358,Vaneau
359,Varenne
360,Vaugirard
361,Vavin
362,VictorHugo
366,Villiers
367,Villiers
368,Volontaires
370,Wagram
371,ecoleMilitaire
373,eglisedAuteuil
375,etienneMarcel
